preliminari		20		20		2		23
report		132		101		26		104
intern		52		45		131		48
algebra		131		72		180		75
languag		1070		407		256		410
cacm		3204		3203		667		3206
decemb		377		373		3874		376
1958		40		39		4251		42
perlis a j		9		9		4294		12
samelsonk		1		1		4307		4
ca581203		1		1		4312		4
jb		3001		3001		4317		3004
march		1830		1689		7322		1692
22		232		230		9015		233
1978		3016		2990		9249		2993
828		4		4		12243		7
pm		2221		2216		12251		2219
extract		28		21		14471		24
root		100		59		14496		62
repeat		15		10		14559		13
subtract		13		12		14573		15
digit		212		132		14589		135
comput		1944		920		14725		923
sugai i		1		1		15649		4
ca581202		1		1		15654		4
829		4		4		15659		7
techniqu		524		352		15667		355
depart		21		18		16023		21
matrix		272		154		16045		157
program		2111		836		16203		839
scheme		147		96		17043		99
friedman m d		2		2		17143		5
ca581201		1		1		17149		4
830		9		9		17154		12
glossari		7		7		17167		10
engin		43		34		17178		37
terminolog		19		18		17216		21
novemb		278		278		17238		281
ca581103		1		1		17520		4
832		4		4		17525		7
two		368		281		17533		284
squar		133		94		17818		97
approxim		213		137		17916		140
wadey w g		1		1		18057		4
ca581102		1		1		18062		4
833		9		9		18067		12
inspect		10		8		18080		11
procedur		407		239		18092		242
muller m e		5		5		18335		8
ca581101		1		1		18344		4
octob		267		267		18349		270
ca581003		1		1		18620		4
835		5		5		18625		8
equival		48		38		18634		41
transform		224		97		18676		100
ca581002		1		1		18777		4
836		4		4		18782		7
propos		213		176		18790		179
uncol		2		2		18970		5
conway m e		4		4		18976		7
ca581001		1		1		18984		4
837		5		5		18989		8
septemb		252		252		18998		255
ca580903		1		1		19254		4
839		7		7		19259		10
problem		854		469		19270		472
commun		176		92		19743		95
chang		97		78		19839		81
machin		319		191		19921		194
solut		307		205		20116		208
part		136		110		20325		113
2		217		198		20439		201
strong j		2		2		20641		5
wegstein j		3		3		20647		6
tritter a		2		2		20654		5
olsztyn j		2		2		20660		5
mock o		2		2		20666		5
steel t		2		2		20672		5
ca580902		1		1		20678		4
841		4		4		20683		7
error		358		175		20691		178
estim		112		69		20870		72
rung		14		10		20943		13
kutta		18		13		20957		16
call d h		1		1		20974		4
reeves r f		6		6		20979		9
ca580901		1		1		20989		4
856		10		10		20994		13
august		308		307		21008		310
ca580805		1		1		21319		4
857		7		7		21324		10
1		177		146		21335		149
ca580804		1		1		21485		4
902		4		4		21490		7
recurs		127		77		21498		80
curv		90		56		21579		59
fit		126		66		21639		69
giblin j		1		1		21709		4
ca580803		1		1		21714		4
secant		5		4		21719		7
modif		54		39		21727		42
newton		44		31		21770		34
method		1013		527		21805		530
jeeves t a		1		1		22336		4
ca580802		1		1		22341		4
903		7		7		22346		10
arithmet		160		89		22357		92
oper		572		374		22450		377
ershov a p		1		1		22828		4
ca580801		1		1		22833		4
904		5		5		22838		8
simpl		196		159		22847		162
automat		234		144		23010		147
code		372		197		23158		200
system		1919		714		23359		717
juli		300		300		24077		303
adams e s		1		1		24381		4
schlesinger s i		1		1		24386		4
ca580701		1		1		24391		4
906		6		6		24396		9
june		304		304		24406		307
ca580603		1		1		24714		4
907		4		4		24719		7
acceler		10		7		24727		10
converg		43		32		24738		35
iter		93		67		24774		70
process		760		448		24845		451
discuss		426		356		25297		359
appli		132		122		25657		125
equat		318		164		25783		167
rate		56		42		25951		45
induc		11		9		25997		12
diverg		4		3		26010		6
